paper,author,species,experiment,spawn/brood,response,unit,mean_value,n,standard_error,standard_deviation,sediment_mg_per_l,depth_m,ammonium_microM,phosphorous_microM,light_treatment_percent_transmission,copper_ug_per_l,tributyltin_ug_per_l,zinc_ug_per_l,cadmium_ug_per_l,salinity_psu,nitrate_microM,tempertaure_degrees_celcius,mercury_ug/_per_l,benzo(a)pyrene_ug_per_l,acidification_pH,lead_ug_per_l,nickel_ug_per_l,factor,life stage,unit,mean_value,control,success,failure
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,10,spawn,fertilisation,0%,65.583,500,7.792,174.2344168,,,0,0,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,0,1,328,172
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,10,spawn,fertilisation,0%,3.274,500,1.299,29.04652303,,,1,1,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,1,0,16,484
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,10,spawn,fertilisation,0%,1.299,500,0,0,,,10,10,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,10,0,6,494
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,10,spawn,fertilisation,0%,0,500,2.053,45.90647558,,,100,100,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,100,0,0,500
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,11,brood,fertilisation,0%,91.583,500,2.475,55.34268244,,,0,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,0,1,458,42
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,11,spawn,fertilisation,0%,92.594,500,1.98,44.27414595,,,0.5,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,0.5,0,463,37
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,11,spawn,fertilisation,0%,89.113,500,2.97,66.41121893,,,1,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,1,1,446,54
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,11,spawn,fertilisation,0%,88.119,500,2.97,66.41121893,,,5,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,5,0,441,59
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,11,spawn,fertilisation,0%,83.686,500,3.96,88.54829191,,,50,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,50,0,418,82
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,12,spawn,fertilisation,0%,82.179,500,3.465,77.47975542,,,0,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,0,0,411,89
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,12,spawn,fertilisation,0%,79.704,500,1.98,44.27414595,,,0.5,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,0.5,1,399,101
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,12,spawn,fertilisation,0%,76.238,500,2.97,66.41121893,,,1,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,1,0,381,119
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,12,spawn,fertilisation,0%,79.213,500,5.445,121.7539014,,,5,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,5,0,396,104
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,12,spawn,fertilisation,0%,75.248,500,3.96,88.54829191,,,50,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,50,0,376,124
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,13,spawn,fertilisation,0%,89.49,500,3.314,74.10329277,,,,0,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,0,0,447,53
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,13,spawn,fertilisation,0%,93.91,500,1.657,37.05164639,,,,0.5,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,0.5,1,470,30
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,13,spawn,fertilisation,0%,90.602,500,1.205,26.94461913,,,,1,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,1,0,453,47
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,13,spawn,fertilisation,0%,90.602,500,3.314,74.10329277,,,,5,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,5,1,453,47
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,13,spawn,fertilisation,0%,86.204,500,2.21,49.4171023,,,,50,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,50,0,431,69
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,14,spawn,fertilisation,0%,83.983,500,2.762,61.76019754,,,,0,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,0,0,420,80
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,14,spawn,fertilisation,0%,76.235,500,3.867,86.46874869,,,,0.5,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,0.5,0,381,119
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,14,spawn,fertilisation,0%,82.309,500,4.972,111.1772998,,,,1,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,1,1,412,88
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,14,spawn,fertilisation,0%,81.204,500,5.524,123.5203951,,,,5,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,5,0,406,94
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,14,spawn,fertilisation,0%,77.339,500,2.762,61.76019754,,,,50,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,50,1,387,113
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,15,spawn,fertilisation,0%,93.597,500,1.97,44.05053916,,,0,0,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,0,0,468,32
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,15,spawn,fertilisation,0%,91.627,500,2.463,55.07435429,,,0.5,0.5,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,0.5,0,458,42
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,15,spawn,fertilisation,0%,88.265,500,1.97,44.05053916,,,1,1,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,1,0,441,59
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,15,spawn,fertilisation,0%,90.153,500,2.956,66.09816941,,,5,5,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,5,1,451,49
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,15,spawn,fertilisation,0%,85.227,500,2.463,55.07435429,,,50,50,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,50,0,426,74
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,16,spawn,fertilisation,0%,83.253,500,1.478,33.04908471,,,0,0,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,0,0,416,84
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,16,spawn,fertilisation,0%,78.364,500,2.463,55.07435429,,,0.5,0.5,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,0.5,0,392,108
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,16,spawn,fertilisation,0%,80.794,500,2.463,55.07435429,,,1,1,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,1,0,404,96
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,16,spawn,fertilisation,0%,78.824,500,2.463,55.07435429,,,5,5,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,5,0,394,106
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Goniastrea aspera,16,spawn,fertilisation,0%,78.824,500,2.956,66.09816941,,,50,50,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,50,0,394,106
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Goniastrea flavus,17,,density of settlement,settlers/100cm2,42.395,1000,3.225,101.9834545,,,,,74.8,,,,,,,,,,,,,LIGHT TREATMENT,settlement,high neutral,74.8,,424,576
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Goniastrea flavus,17,,density of settlement,settlers/100cm3,34.101,1000,4.608,145.7177546,,,,,51.03,,,,,,,,,,,,,LIGHT TREATMENT,settlement,medium blue,51.03,,341,659
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Goniastrea flavus,17,,density of settlement,settlers/100cm4,51.608,1000,13.363,422.5751637,,,,,40.3,,,,,,,,,,,,,LIGHT TREATMENT,settlement,medium neutral,40.3,,516,484
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Goniastrea flavus,17,,density of settlement,settlers/100cm5,18.898,1000,4.608,145.7177546,,,,,14.55,,,,,,,,,,,,,LIGHT TREATMENT,settlement,low blue,14.55,,189,811
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Goniastrea flavus,17,,density of settlement,settlers/100cm6,53.459,1000,10.598,335.1381864,,,,,11.46,,,,,,,,,,,,,LIGHT TREATMENT,settlement,low neutral,11.46,,535,465
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Acropora tenius,17,spawn,density of settlement,settlers/100cm7,260.885,1000,71.296,2254.577481,,,,,74.8,,,,,,,,,,,,,LIGHT TREATMENT,settlement,high neutral,74.8,,2609,1609
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Acropora tenius,17,spawn,density of settlement,settlers/100cm8,153.935,1000,38.889,1229.778159,,,,,51.03,,,,,,,,,,,,,LIGHT TREATMENT,settlement,medium blue,51.03,,1539,539
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Acropora tenius,17,spawn,density of settlement,settlers/100cm9,202.553,1000,50.231,1588.443691,,,,,40.3,,,,,,,,,,,,,LIGHT TREATMENT,settlement,medium neutral,40.3,,2026,1026
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Acropora tenius,17,spawn,density of settlement,settlers/100cm10,82.655,1000,21.065,666.1337891,,,,,14.55,,,,,,,,,,,,,LIGHT TREATMENT,settlement,low blue,14.55,,827,173
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Acropora tenius,17,spawn,density of settlement,settlers/100cm11,90.741,1000,34.028,1076.059842,,,,,11.46,,,,,,,,,,,,,LIGHT TREATMENT,settlement,low neutral,11.46,,907,93
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Oxypora lacera,17,,density of settlement,settlers/100cm12,10.959,1000,2.74,86.64640789,,,,,74.8,,,,,,,,,,,,,LIGHT TREATMENT,settlement,high neutral,74.8,,110,890
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Oxypora lacera,17,,density of settlement,settlers/100cm13,42.019,1000,6.393,202.1644108,,,,,51.03,,,,,,,,,,,,,LIGHT TREATMENT,settlement,medium blue,51.03,,420,580
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Oxypora lacera,17,,density of settlement,settlers/100cm14,26.499,1000,3.653,115.5180029,,,,,40.3,,,,,,,,,,,,,LIGHT TREATMENT,settlement,medium neutral,40.3,,265,735
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Oxypora lacera,17,,density of settlement,settlers/100cm15,98.629,1000,52.054,1646.092013,,,,,14.55,,,,,,,,,,,,,LIGHT TREATMENT,settlement,low blue,14.55,,986,14
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Oxypora lacera,17,,density of settlement,settlers/100cm16,78.543,1000,63.04,1993.499837,,,,,11.46,,,,,,,,,,,,,LIGHT TREATMENT,settlement,low neutral,11.46,,785,215
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Playtygyra daedalea,17,spawn,density of settlement,settlers/100cm17,47.353,1000,13.824,437.1532637,,,,,74.8,,,,,,,,,,,,,LIGHT TREATMENT,settlement,high neutral,74.8,,474,526
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Playtygyra daedalea,17,spawn,density of settlement,settlers/100cm18,50.809,1000,15.898,502.7389024,,,,,51.03,,,,,,,,,,,,,LIGHT TREATMENT,settlement,medium blue,51.03,,508,492
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Playtygyra daedalea,17,spawn,density of settlement,settlers/100cm19,36.982,1000,8.0302,253.9372207,,,,,40.3,,,,,,,,,,,,,LIGHT TREATMENT,settlement,medium neutral,40.3,,370,630
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Playtygyra daedalea,17,spawn,density of settlement,settlers/100cm20,34.561,1000,8.64,273.2207898,,,,,14.55,,,,,,,,,,,,,LIGHT TREATMENT,settlement,low blue,14.55,,346,654
Role of light intensity and spectral quality in coral settlement- Implications for depth-dependent settlement,Mundy and Babcock,Playtygyra daedalea,17,spawn,density of settlement,settlers/100cm21,31.796,1000,8.64,273.2207898,,,,,11.46,,,,,,,,,,,,,LIGHT TREATMENT,settlement,low neutral,11.46,,318,682
Inhibition of coral fertilisation and larval metamorphosi by tributyltin and copper,Negri and Heyward,Acropora millepora,18,spawn,fertilisation,0%,50,900,1.1,2.694438717,,,,,,17.4,,,,,,,,,,,,COPPER,fertilisation,ug/l,17.4,,450,450
Inhibition of coral fertilisation and larval metamorphosi by tributyltin and copper,Negri and Heyward,Acropora millepora,19,spawn,fertilisation,0%,50,1800,31,107.3871501,,,,,,,200,,,,,,,,,,,TRIBUTYLTIN,fertilisation,ug/l,200,,900,900
Inhibition of coral fertilisation and larval metamorphosi by tributyltin and copper,Negri and Heyward,Acropora millepora,20,spawn,fertilisation,0%,50,900,20,48.98979486,,,,,,110,,,,,,,,,,,,COPPER,metamorphosis,ug/l,110,,450,450
Inhibition of coral fertilisation and larval metamorphosi by tributyltin and copper,Negri and Heyward,Acropora millepora,21,spawn,fertilisation,0%,5,1800,0.3,1.039230485,,,,,,,2,,,,,,,,,,,TRIBUTYLTIN,metamorphosis,ug/l,2,,90,1710
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Goniastrea aspera,22,spawn,fertilisation,0%,91.006,500,3.186,31.86,,,,,,0,,,,,,,,,,,,COPPER,fertilisation,ug/L,0,1,455,45
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Goniastrea aspera,22,spawn,fertilisation,0%,93.392,500,4.497,44.97,,,,,,2,,,,,,,,,,,,COPPER,fertilisation,ug/l,2,0,467,33
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Goniastrea aspera,22,spawn,fertilisation,0%,41.277,500,7.143,71.43,,,,,,20,,,,,,,,,,,,COPPER,fertilisation,ug/l,20,0,206,294
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Goniastrea aspera,22,spawn,fertilisation,0%,1.058,500,0.529,5.29,,,,,,200,,,,,,,,,,,,COPPER,fertilisation,ug/l,200,0,5,495
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Goniastrea aspera,23,spawn,fertilisation,0%,95.836,500,1.823,18.23,,,,,,,,0,,,,,,,,,,ZINC,fertilisation,ug/l,0,1,479,21
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Goniastrea aspera,23,spawn,fertilisation,0%,96.624,500,1.302,13.02,,,,,,,,2,,,,,,,,,,ZINC,fertilisation,ug/L,2,0,483,17
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Goniastrea aspera,23,spawn,fertilisation,0%,95.345,500,1.823,18.23,,,,,,,,20,,,,,,,,,,ZINC,fertilisation,ug/l,20,0,477,23
